| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
| STT_GR_0022_0204_1598848_to_1600608 | 39 | 1.76 | 0.081 | 0.108 | 0.135 | 0.027 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0326_2125147_to_2127035 | 48 | 1.89 | 0.326 | 0.348 | 0.174 | 0.152 |
| STT_GR_0022_0200_1575100_to_1580100 | 48 | 5.00 | 0.261 | 0.239 | 0.239 | 0.261 |
| STT_GR_0022_0325_2122332_to_2124763 | 49 | 2.43 | 0.125 | 0.125 | 0.083 | 0.083 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0280_1906412_to_1908140 | 42 | 1.73 | 0.333 | 0.262 | 0.167 | 0.190 |
| STT_GR_0022_0210_1612864_to_1614816 | 44 | 1.95 | 0.286 | 0.381 | 0.381 | 0.310 |
| STT_GR_0022_0001_6800_to_10300 | 43 | 3.50 | 0.024 | 0.146 | 0.171 | 0.171 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0189_1500500_to_1504500 | 58 | 4.00 | 0.379 | 0.310 | 0.259 | 0.259 |
| STT_GR_0022_0078_678200_to_680700 | 57 | 2.50 | 0.273 | 0.327 | 0.164 | 0.236 |
| STT_GR_0022_0215_1625312_to_1627584 | 58 | 2.27 | 0.429 | 0.232 | 0.214 | 0.250 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0172_1421600_to_1425700 | 52 | 4.10 | 0.096 | 0.000 | 0.038 | 0.038 |
